,YEAR,ACTIVE YEAR,CODE STATUS,TYPE OF VIOLENCE,SIDE A,SIDE B,STATE,LATITUDE,LONGITUDE,NO OF DEATHS FROM SIDE A,NO OF DEATHS FROM SIDE B,NO OF DEATHS OF CIVILIANS,NO OF UNKNOWN DEATHS,TOTAL DEATHS,Region
13974,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13975,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13976,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,1,0,1,Northern
13977,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13978,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,2,0,2,Northern
13979,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,2,0,2,Northern
13980,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,0,0,0,Northern
13981,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,1,0,1,Northern
13982,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13983,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,1,0,1,Northern
13984,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13985,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13986,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13987,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13988,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
13989,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13990,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,3,0,3,Northern
13991,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
13992,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,1,0,1,Northern
13993,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13994,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13995,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,6,0,6,Northern
13996,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.89001,74.66297,0,0,1,0,1,Northern
13997,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,15,0,15,Northern
13998,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
13999,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,1,0,1,Northern
14000,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,1,0,1,Northern
14001,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,1,0,1,Northern
14002,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.89001,74.66297,0,0,1,0,1,Northern
14003,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,32.828773,75.726814,0,0,2,0,2,Northern
14004,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14005,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
14006,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,2,0,2,Northern
14007,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14008,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14009,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,2,0,2,Northern
14010,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,1,0,1,Northern
14011,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,1,0,1,Northern
14012,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,1,0,1,Northern
14013,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,1,0,1,Northern
14014,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,0,0,0,Northern
14015,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,0,0,0,Northern
14016,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14017,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14018,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,1,0,1,Northern
14019,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,0,0,0,Northern
14020,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,2,0,2,Northern
14021,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.89001,74.66297,0,0,1,0,1,Northern
14022,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,0,0,0,Northern
14023,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14024,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14025,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14026,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14027,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,3,0,3,Northern
14028,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14029,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,1,0,1,Northern
14030,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1,Northern
14031,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.0,75.16667,0,0,5,0,5,Northern
14032,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14033,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14034,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14035,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.0,75.16667,0,0,0,0,0,Northern
14036,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14037,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14038,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14039,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14040,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14041,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14042,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14043,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,3,0,3,Northern
14044,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,2,0,2,Northern
14045,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14046,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14047,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14048,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,7,0,7,Northern
14049,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,0,0,0,Northern
14050,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,8,0,8,Northern
14051,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14052,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14053,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14054,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14055,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14056,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14057,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14058,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14059,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14060,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14061,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.89001,74.66297,0,0,4,0,4,Northern
14062,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14063,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14064,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14065,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14066,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14067,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14068,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14069,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14070,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1,Northern
14071,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14072,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14073,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14074,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,2,0,2,Northern
14075,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.21667,75.5,0,0,10,0,10,Northern
14076,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,15,0,15,Northern
14077,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14078,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14079,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14080,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14081,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,17,0,17,Northern
14082,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14083,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,32.75,74.83333,0,0,12,0,12,Northern
14084,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14085,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14086,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14087,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14088,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.89001,74.66297,0,0,2,0,2,Northern
14089,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14090,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.0,75.16667,0,0,7,0,7,Northern
14091,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14092,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,2,0,2,Northern
14093,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14094,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,0,0,0,Northern
14095,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14096,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,2,0,2,Northern
14097,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14098,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.590951,74.307262,0,0,2,0,2,Northern
14099,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,5,0,5,Northern
14100,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,0,0,0,Northern
14101,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14102,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,1,0,1,Northern
14103,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14104,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,3,0,3,Northern
14105,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,4,0,4,Northern
14106,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14107,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,2,0,2,Northern
14108,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14109,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14110,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14111,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14112,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14113,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14114,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14115,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14116,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,2,0,2,Northern
14117,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14118,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14119,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14120,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,2,0,2,Northern
14121,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14122,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,1,0,1,Northern
14123,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14124,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14125,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14126,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14127,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,2,0,2,Northern
14128,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,1,0,1,Northern
14129,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,0,0,0,Northern
14130,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14131,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,6,0,6,Northern
14132,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,32.75,74.83333,0,0,4,0,4,Northern
14133,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14134,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,0,0,0,Northern
14135,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14136,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14137,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14138,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14139,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.275584,75.021236,0,0,0,0,0,Northern
14140,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14141,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14142,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,0,0,0,Northern
14143,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,1,0,1,Northern
14144,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14145,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.0,75.16667,0,0,1,0,1,Northern
14146,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.0,75.16667,0,0,6,0,6,Northern
14147,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.0,75.16667,0,0,7,0,7,Northern
14148,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,2,0,2,Northern
14149,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14150,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14151,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14152,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.796601,75.176727,0,0,4,0,4,Northern
14153,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14154,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14155,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
14156,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,4,0,4,Northern
14157,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,4,0,4,Northern
14158,2001,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.77,74.1,0,0,6,0,6,Northern
14159,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.687088,75.224479,0,0,1,0,1,Northern
14160,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.325183,74.125949,0,0,1,0,1,Northern
14161,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.389636,75.14886,0,0,1,0,1,Northern
14162,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.83333,75.16667,0,0,1,0,1,Northern
14163,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,4,0,4,Northern
14164,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1,Northern
14165,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,2,0,2,Northern
14166,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.836438,74.934837,0,0,1,0,1,Northern
14167,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
14168,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.919908,75.117832,0,0,1,0,1,Northern
14169,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,5,0,5,Northern
14170,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.924686,75.026443,0,0,3,0,3,Northern
14171,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,4,0,4,Northern
14172,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
14173,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,2,0,2,Northern
14174,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14175,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.780102,75.117092,0,0,1,0,1,Northern
14176,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
14177,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.25,74.25,0,0,2,0,2,Northern
14178,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.307394,74.375785,0,0,0,1,1,Northern
14179,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.080399,74.823383,0,0,1,0,1,Northern
14180,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14181,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,5,0,5,Northern
14182,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.19287,74.3692,0,0,2,0,2,Northern
14183,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.372601,74.167293,0,0,2,0,2,Northern
14184,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.10081,75.6497,0,0,2,0,2,Northern
14185,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
14186,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14187,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1,Northern
14188,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,3,0,3,Northern
14189,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,33.91667,76.66667,0,0,4,0,4,Northern
14190,2002,1,Clear,3,Kashmir insurgents,Civilians,Jammu and Kashmir,34.40614,74.19919,0,0,2,0,2,Northern
